name,type,stem,Adams-Novikov filtration,info,target,sourcex,sourcey,targetx,targety
h2 h4,h0,18,2,,h1^3 h4,0,0,0,0
t g,h0,20,2,,h0 g,0,0,0,0
h0 h2 h5,h0,34,2,,h1^3 h5,0,0,0,0
t g^2,h0,40,6,,h0 g^2,0,0,0,0
P h2 h5,h0,42,2,,P h1^3 h5,0,0,0,0
h3 g2,h0,51,5,,g n,0,0,0,0
h0 h5 i,h0,54,2,?,h1 i1,0,0,0,0
h0 h5 i,h0,54,2,?,h1^6 h5 e0,0.5,0.5,0.5,-0.5
t g^3,h0,60,10,,h0 g^3,0,0,0,0
_h1 B7,h0,63,3,,h1 E1,0,0,0,0
h1 h6,h0,64,2,,h1^2 h5^2,0,0,0,0
D2',h0,66,2,,h1^2 q1,0,0,0,0
t Q3,h0,67,3,,h0 Q3,0,0,0,0
_h1 h3 B7,h0,70,4,,d1 e1,0.4,0.6,0.5,0
h6 c0,h0,71,3,,h1^2 p',0,0,0,0
P h0 h2 h6,h0,74,2,,P h1^3 h6,0,0,0,0
_h0 h2^2 Q3,h0,74,4,,"x74,8",0,0,0,0
D^2 h2^2 g,h0,74,6,,e0^2 g^2,0,0,0,0
D^2 p,h0,81,3,,D^2 h1 d1,0,0,0,0
h2 h4 h6,h0,81,3,,h1^3 h4 h6,0,0,0,0
P^2 h2 h6,h0,82,2,,P^2 h1^3 h6,0,0,0,0
t h6 g,h0,83,3,,h0 h6 g,0,0,0,0
h0^3 c3,h0,85,3,,h2 h4 Q3,0.5,0.5,0.5,0
P^3 h2 h6,h0,90,2,,P^3 h1^3 h6,0,0,0,0
x,h1,37,3,,h2^2 d1,0,0,0,0
h0^2 h3 h5,h1,38,2,,c1 g,0,0,0,0
u,h1,39,3,,h0 g^2,0,0,0,0
D h2^2 e0,h1,47,5,,h1 h3 g^2,0,0,0,0
_P h1^2 h5 c0,h1,50,2,,g n,0,0,0,0
P h1^3 h5 e0,h1,59,7,,h0 g^3,0,0,0,0
_h1^3 B3,h1,64,4,,h1^2 X2,0,0,0,0
h2^2 h6,h1,69,3,,h2 Q3,0,0,0,0
h1 G21,h1,69,5,,d1 e1,0,0,0,0
_h1 h3 B7,h1,70,4,,h1^2 h3 H1,0,0,0,0
D^2 h2 g,h1,71,5,,D h1 h3 g^2,0,0,0,0
"h1 x71,6",h1,72,6,,h1^4 D3',0,0,0,0
h0 h3 d2,h1,75,5,,d1 g2,0,0,0,0
e0 A',h1,78,6,,h1 m1,0,0,0,0
D^2 x,h1,85,3,,t B5 g,0,0,0,0
h0^3 h6 i,h1,86,2,,D^2 c1 g,0,0,0,0
t g,h2,20,2,,h2 g,0.7,0,0,-0.7
q,h2,32,2,,h1 e0^2,0,0,0,0
T,h2,36,4,,c1 g,0,0.5,-0.5,0
u,h2,39,3,,c0 e0^2,0,0,0,0
t w,h2,45,3,,h1 h3 g^2,0,0,0,0
h0 h5 e0,h2,48,4,,g n,0,0,0,0
h2 B2,h2,51,5,,h1 i1,0,0.5,-0.5,0
h1 Q1,h2,57,3,,h0 g^3,0,0,0,0
h5 n,h2,62,4,,k1,0,0.5,-0.5,0
E1,h2,62,4,,h1^2 X2,0.5,0,0,-0.5
_h1 B7,h2,63,3,,h1^3 X2,0,0.5,0,-0.5
t h1 G0,h2,65,5,,d1 e1,0,0.5,-0.5,0
C11,h2,67,3,,_P h1^4 D4,0.5,0,0,-0.5
t Q3,h2,67,3,,h2 Q3,0.5,0,0,-0.5
_h1^2 X3,h2,70,4,,h1^4 D3',1,0,-0.1,-0.4
t h1 W1,h2,70,4,,D h1^2 h3 g^2,0,0,0,0
D^2 h2 g,h2,71,5,,e0^2 g^2,0.5,0.5,0,-1
h3^2 h6,h2,77,3,,h1 x1,0,1,-0.4,-0.1
h0^6 h4 h6,h2,78,2,,D^2 h1 d1,0,0.5,-0.5,0
D B6,h2,79,5,,(D e1 + C0) g,0,0.5,-0.5,0
"_h1^4 x76,6",h2,81,5,,h2 c1 H1,0.5,0,0,-0.5
t h6 g,h2,83,3,,h2 h6 g,0.5,0,0,-0.5
D^2 h2 d1,h2,83,5,,t B5 g,0,0.5,-0.5,0
D j1,h2,83,7,,M h1 g^2,0,0,0,0
D^2 T,h2,84,4,,D^2 c1 g,0,0.5,-0.5,0
