name,cell,image,stem,Adams filtration,weight,Adams-Novikov filtration,h1target,h2target,h3target,theta2,theta3,theta4,theta5
[0-0],B,[0-0],0,0,0,0,[1-0],[1-1],[1-2],v2^1[1-0]+[1-2],[1-3]+v2^2[1-1]+v1^7[1-0]+v1^4v2^1[1-0],[1-4]+v2^5[1-0]+v1^15[1-0]+v1^12v2^1[1-0],[1-5]+v1^31[1-0]
[1-0],B,[1-0],1,1,1,1,[2-0],,[2-2]+v2^1[2-0],[2-2],[2-4]+v1^4v2^1[2-0],v1^1[2-6]+v1^15[2-0]+[2-7]+v2^5[2-0]+v1^12v2^1[2-0],v1^1[2-10]+v1^31[2-0]+[2-11]
v1^1[0-0],T,[1-0],2,0,1,0,v1^1[1-0],,v1^1[1-2]+v1^1v2^1[1-0]+v1^4[1-0],v1^1[1-2]+v1^4[1-0],v1^1[1-3]+v1^8[1-0],v1^1[1-4]+v1^1v2^5[1-0]+v1^13v2^1[1-0]+v1^16[1-0],v1^1[1-5]+v1^32[1-0]
[2-0],B,[2-0],2,2,2,2,[3-0],,[3-1]+v2^1[3-0],[3-1],[3-2]+v1^1v2^2[3-0],[3-6]+v2^5[3-0],v1^1[3-11]+v1^31[3-0]+[3-13]
[1-1],B,[1-1],3,1,2,1,,[2-1]+v1^2[2-0],,v1^1[2-2]+v1^4[2-0],[2-5],v3^2[2-1]+v1^13v2^1[2-0]+[2-8],[2-12]+v1^1[2-11]
v1^1[1-0],T,[2-0],3,1,2,1,v1^1[2-0],,v1^1[2-2]+v1^1v2^1[2-0],v1^1[2-2]+v1^4[2-0],v1^1[2-4]+v1^8[2-0],v1^1[2-7]+v1^1v2^5[2-0]+v1^13v2^1[2-0]+v1^16[2-0],v1^1[2-11]+v1^32[2-0]
[3-0],B,[3-0],3,3,3,3,[4-0],,v2^1[4-0],,[4-1],[4-4],v1^1[4-11]+v1^31[4-0]+[4-12]
v1^1[2-0],T,[3-0],4,2,3,2,v1^1[3-0],,v1^1v2^1[3-0],,v1^1[3-2]+v1^8[3-0],v1^1[3-6]+v1^16[3-0],v1^1[3-13]+v1^32[3-0]
[4-0],B,[4-0],4,4,4,4,[5-0],,v2^1[5-0],,,[5-5],[5-14]
v1^2[1-0],B,v1^2[1-0],5,3,3,1,v1^2[2-0],,v1^2v2^1[2-0],,v1^2[2-4],v1^2[2-7],v1^3[2-10]+v1^33[2-0]+v1^2[2-11]
v1^1[3-0],T,[4-0],5,3,4,3,v1^1[4-0],,v1^1v2^1[4-0]+v1^4[4-0],,v1^1[4-1]+v1^8[4-0],v1^1[4-4]+v1^16[4-0],v1^1[4-12]+v1^32[4-0]
[5-0],B,[5-0],5,5,5,5,[6-0],,v2^1[6-0],,,[6-4],[6-11]
v1^3[0-0],T,v1^2[1-0],6,2,3,0,v1^3[1-0],,v1^3v2^1[1-0],,v1^3[1-3]+v1^10[1-0],v1^3[1-4]+v1^18[1-0],v1^3[1-5]+v1^34[1-0]
[2-1],B,[2-1],6,2,4,2,v1^2[3-0],[3-1],v1^2v2^1[3-0],,[3-4]+v1^2[3-2],[3-7],v2^11[3-0]+[3-14]
