name,stem,Adams-Novikov filtration,order,h1info,h1target,h2target,drinfo,drtarget
1,0,0,\infty,,h1,h2,,
h1,1,1,1,,h1^2,,,
h1^2,2,2,1,,h1^3,,,
h2,3,1,2,,,,,
h1^3,3,3,1,,h1^4,,,
h1^4,4,4,1,,h1^5,,,
_h1^4,5,1,1,,_h1^5,,3,h1^4
h1^5,5,5,1,loc,,,,
_h1^5,6,2,1,loc,,,3,h1^5
h3,7,1,4,,h1 h3,,,
h1 h3,8,2,1,,h1^2 h3,,,
P h1,9,1,1,,P h1^2,,,
h1^2 h3,9,3,1,,h1^3 h3,,,
P h1^2,10,2,1,,P h1^3,,,
h1^3 h3,10,4,1,,h1^4 h3,,,
_h1^2 c0,11,1,3,,_h1^3 c0,,3,h1^3 h3
P h1^3,11,3,1,,P h1^4,,,
h1^4 h3,11,5,1,loc,,,,
_h1^3 c0,12,2,1,loc,,,3,h1^4 h3
P h1^4,12,4,1,,P h1^5,,,
_P h1^4,13,1,1,,_P h1^5,,3,P h1^4
P h1^5,13,5,1,loc,,,,
_P h1^5,14,2,1,loc,,,3,P h1^5
h0^3 h4,15,1,5,,P c0,,,
P c0,16,2,1,,P h1 c0,,,
P^2 h1,17,1,1,,P^2 h1^2,,,
P h1 c0,17,3,1,,P h1^2 c0,,,
P^2 h1^2,18,2,1,,P^2 h1^3,,,
P h1^2 c0,18,4,1,,P h1^3 c0,,,
_P h1^2 c0,19,1,3,,_P h1^3 c0,,3,P h1^2 c0
P^2 h1^3,19,3,1,,P^2 h1^4,,,
P h1^3 c0,19,5,1,loc,,,,
_P h1^3 c0,20,2,1,loc,,,3,P h1^3 c0
P^2 h1^4,20,4,1,,P^2 h1^5,,,
_P^2 h1^4,21,1,1,,_P^2 h1^5,,3,P^2 h1^4
P^2 h1^5,21,5,1,loc,,,,
_P^2 h1^5,22,2,1,loc,,,3,P^2 h1^5
h0^2 i,23,1,4,,P^2 c0,,,
P^2 c0,24,2,1,,P^2 h1 c0,,,
P^3 h1,25,1,1,,P^3 h1^2,,,
P^2 h1 c0,25,3,1,,P^2 h1^2 c0,,,
P^3 h1^2,26,2,1,,P^3 h1^3,,,
P^2 h1^2 c0,26,4,1,,P^2 h1^3 c0,,,
_P^2 h1^2 c0,27,1,3,,_P^2 h1^3 c0,,3,P^2 h1^2 c0
P^3 h1^3,27,3,1,,P^3 h1^4,,,
P^2 h1^3 c0,27,5,1,loc,,,,
_P^2 h1^3 c0,28,2,1,loc,,,3,P^2 h1^3 c0
P^3 h1^4,28,4,1,,P^3 h1^5,,,
_P^3 h1^4,29,1,1,,_P^3 h1^5,,3,P^3 h1^4
P^3 h1^5,29,5,1,loc,,,,
_P^3 h1^5,30,2,1,loc,,,3,P^3 h1^5
h0^10 h5,31,1,6,,P^3 c0,,,
P^3 c0,32,2,1,,P^3 h1 c0,,,
P^4 h1,33,1,1,,P^4 h1^2,,,
P^3 h1 c0,33,3,1,,P^3 h1^2 c0,,,
P^4 h1^2,34,2,1,,P^4 h1^3,,,
P^3 h1^2 c0,34,4,1,,P^3 h1^3 c0,,,
_P^3 h1^2 c0,35,1,3,,_P^3 h1^3 c0,,3,P^3 h1^2 c0
P^4 h1^3,35,3,1,,P^4 h1^4,,,
P^3 h1^3 c0,35,5,1,loc,,,,
_P^3 h1^3 c0,36,2,1,loc,,,3,P^3 h1^3 c0
P^4 h1^4,36,4,1,,P^4 h1^5,,,
