name,stem,Adams-Novikov filtration,order,h1target,h2target
1,0,0,\infty,h1,h2
h1,1,1,1,h1^2,
h1^2,2,2,1,h1^3,
h1^3,3,3,1,,
h2,3,1,2,,
h3,7,1,4,h1 h3,
h1 h3,8,2,1,h1^2 h3,
h1^2 h3,9,3,1,,
P h1,9,1,1,P h1^2,
P h1^2,10,2,1,P h1^3,
P h1^3,11,3,1,,
P h2,11,1,2,,
h0^3 h4,15,1,5,P c0,
P c0,16,2,1,P h1 c0,
P h1 c0,17,3,1,,
P^2 h1,17,1,1,P^2 h1^2,
P^2 h1^2,18,2,1,P^2 h1^3,
P^2 h1^3,19,3,1,,
P^2 h2,19,1,2,,
h0^2 i,23,1,4,P^2 c0,
P^2 c0,24,2,1,P^2 h1 c0,
P^2 h1 c0,25,3,1,,
P^3 h1,25,1,1,P^3 h1^2,
P^3 h1^2,26,2,1,P^3 h1^3,
P^3 h1^3,27,3,1,,
P^3 h2,27,1,2,,
h0^10 h5,31,1,6,P^3 c0,
P^3 c0,32,2,1,P^3 h1 c0,
P^3 h1 c0,33,3,1,,
P^4 h1,33,1,1,P^4 h1^2,
P^4 h1^2,34,2,1,P^4 h1^3,
P^4 h1^3,35,3,1,,
P^4 h2,35,1,2,,
P^2 h0^2 i,39,1,4,P^4 c0,
P^4 c0,40,2,1,P^4 h1 c0,
P^4 h1 c0,41,3,1,,
P^5 h1,41,1,1,P^5 h1^2,
P^5 h1^2,42,2,1,P^5 h1^3,
P^5 h1^3,43,3,1,,
P^5 h2,43,1,2,,
h0^7 Q',47,1,5,P^5 c0,
P^5 c0,48,2,1,P^5 h1 c0,
P^5 h1 c0,49,3,1,,
P^6 h1,49,1,1,P^6 h1^2,
P^6 h1^2,50,2,1,P^6 h1^3,
P^6 h1^3,51,3,1,,
P^6 h2,51,1,2,,
P^4 h0^2 i,55,1,4,P^6 c0,
P^6 c0,56,2,1,P^6 h1 c0,
P^6 h1 c0,57,3,1,,
P^7 h1,57,1,1,P^7 h1^2,
P^7 h1^2,58,2,1,P^7 h1^3,
P^7 h1^3,59,3,1,,
P^7 h2,59,1,2,,
h0^25 h6,63,1,7,P^7 c0,
P^7 c0,64,2,1,P^7 h1 c0,
P^7 h1 c0,65,3,1,,
P^8 h1,65,1,1,P^8 h1^2,
P^8 h1^2,66,2,1,P^8 h1^3,
P^8 h1^3,67,3,1,,
P^8 h2,67,1,2,,
P^6 h0^2 i,71,1,4,P^8 c0,
P^8 c0,72,2,1,P^8 h1 c0,
P^8 h1 c0,73,3,1,,
P^9 h1,73,1,1,P^9 h1^2,
P^9 h1^2,74,2,1,P^9 h1^3,
P^9 h1^3,75,3,1,,
P^9 h2,75,1,2,,
P^4 h0^7 Q',79,1,5,P^9 c0,
P^9 c0,80,2,1,P^9 h1 c0,
P^9 h1 c0,81,3,1,,
P^10 h1,81,1,1,P^10 h1^2,
P^10 h1^2,82,2,1,P^10 h1^3,
P^10 h1^3,83,3,1,,
P^10 h2,83,1,2,,
P^8 h0^2 i,87,1,4,P^10 c0,
P^10 c0,88,2,1,P^10 h1 c0,
P^10 h1 c0,89,3,1,,
P^11 h1,89,1,1,P^11 h1^2,
P^11 h1^2,90,2,1,P^11 h1^3,
P^11 h1^3,91,3,1,,
P^11 h2,91,1,2,,
P^6 h0^6 Q',95,1,6,P^11 c0,
P^11 c0,96,2,1,P^11 h1 c0,
P^11 h1 c0,97,3,1,,
P^12 h1,97,1,1,P^12 h1^2,
P^12 h1^2,98,2,1,P^12 h1^3,
P^12 h1^3,99,3,1,,
P^12 h2,99,1,2,,
P^10 h0^2 i,103,1,4,P^12 c0,
P^12 c0,104,2,1,P^12 h1 c0,
P^12 h1 c0,105,3,1,,
P^13 h1,105,1,1,P^13 h1^2,
P^13 h1^2,106,2,1,P^13 h1^3,
P^13 h1^3,107,3,1,,
P^13 h2,107,1,2,,
