source,type,stem,Adams filtration,info,target,sourcex,sourcey,targetx,targety
h0 h2 g,h0,23,6,,P h1 d0,0,0,0,0
g^2,h0,40,8,,h1 u,0,0,0,0
e0 r,h0,47,10,,P u,0,0,0,0
h0 h3 g2,h0,51,6,,g n,0.5,0.5,0.5,-0.5
h0 h5 i,h0,54,9,?,e0^2 g,0.5,0.5,0.5,-0.5
h0 h5 i again,h0,54,9,?,h1 x',0,0,0,0
g^3,h0,60,12,,d0^2 l,0,0,0,0
h1 H1,h0,63,6,,h1 E1,-0.5,0.5,-0.5,-0.5
h1 h6,h0,64,2,,h1^2 h5^2,0,0,0,0
h1 h3 H1,h0,70,7,,h2 C'',-0.5,0.5,-0.5,-0.5
h6 c0,h0,71,4,,h1^2 p',0.5,0.5,0.5,-0.5
h3 n1,h0,74,6,,"x74,8",0.5,0.5,0.5,-0.5
D^2 h2^2 g,h0,74,14,,e0^2 g^2,0,0,0,0
h1 h4 D3,h0,77,6,,"h0 x77,7",0.5,0.5,0.5,-0.5
e0 A',h0,78,10,,M D h1^2 h3,0,0,0,0
h1 f2,h0,85,5,,h2 h4 Q3,-0.5,0.5,-0.5,-0.5
h0 h2 h6 g,h0,86,7,,P h1 h6 d0,0,0,0,0
h0^3 h4,h1,15,4,,P c0,0,0,0,0
h1 g,h1,21,5,,P d0,0,0,0,0
h0^2 i,h1,23,9,,P^2 c0,0,0,0,0
h0^10 h5,h1,31,11,,P^3 c0,0,0,0,0
h0^2 h3 h5,h1,38,4,,c1 g,0,0,0,0
P^2 h0^2 i,h1,39,17,,P^4 c0,0,0,0,0
g^2,h1,40,8,,z,0,0,0,0
z,h1,41,10,,d0^3,0,0,0,0
h3^2 h5,h1,45,3,,B1,0,0,0,0
h1 g2,h1,45,5,,N,0,0,0,0
D h1 g,h1,45,9,,d0 l,0,0,0,0
d0 l,h1,46,11,,P u,0,0,0,0
e0 r,h1,47,10,,d0 e0^2,0,0,0,0
h0^7 Q',h1,47,20,,P^5 c0,0,0,0,0
C,h1,50,6,,g n,0,0,0,0
e0 m,h1,52,11,,d0 u,0,0,0,0
P^4 h0^2 i,h1,55,25,,P^6 c0,0,0,0,0
D h1 d0 g,h1,59,13,,d0^2 l,0,0,0,0
