name,stem,Adams filtration,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget,,
1,0,0,,,h0,,h1,,h2,,,,
h0,0,1,,,h0^2,,,,h0 h2,,,,
h0^2,0,2,,,h0^3,,,,h1^3,,,,
h0^3,0,3,,loc,,,,,,,,,
h1,1,1,,,,,h1^2,,,,,,
h1^2,2,2,,,,,h1^3,,,,,,
h2,3,1,,,h0 h2,,,,h2^2,,,,
h0 h2,3,2,,,h1^3,,,,,,,,
h1^3,3,3,,,,,,,,,,,
h2^2,6,2,,,,,,,h1^2 h3,,,,
h3,7,1,,,h0 h3,,h1 h3,,,,,,
h0 h3,7,2,,,h0^2 h3,,,,,,,,
h0^2 h3,7,3,,,h0^3 h3,,,,,,,,
h0^3 h3,7,4,,,,,,,,,,,
h1 h3,8,2,,,,,h1^2 h3,,,,,,
c0,8,3,,,,,h1 c0,,,,,,
h1^2 h3,9,3,,,,,,,,,,,
h1 c0,9,4,,,,,,,,,,,
P h1,9,5,,,,,P h1^2,,,,,,
P h1^2,10,6,,,,,P h1^3,,,,,,
P h2,11,5,,,P h0 h2,,,,,,,,
P h0 h2,11,6,,,P h1^3,,,,,,,,
P h1^3,11,7,,,,,,,,,,,
h3^2,14,2,,,,,,,,,,,
d0,14,4,,,,,h1 d0,,h0 e0,,,,
h0^3 h4,15,4,,,h0^4 h4,h,P c0,,,,,,
h1 d0,15,5,-1,,,,,,,,,,
h0^4 h4,15,5,1,,h0^5 h4,,,,,,,,
h0^5 h4,15,6,,,h0^6 h4,,,,,,,,
h0^6 h4,15,7,,,h0^7 h4,,,,,,,,
h0^7 h4,15,8,,,,,,,,,,,
h1 h4,16,2,,,,,h1^2 h4,,,,,,
P c0,16,7,,,,,P h1 c0,,,,,,
h1^2 h4,17,3,,,,,h1^3 h4,,,,,,
h0 e0,17,5,,,,,,,h0 h2 e0,,,,
P h1 c0,17,8,,,,,,,,,,,
P^2 h1,17,9,,,,,P^2 h1^2,,,,,,
h2 h4,18,2,,,h0 h2 h4,,,,h2^2 h4,,,,
h0 h2 h4,18,3,,,h1^3 h4,,,,,,,,
h1^3 h4,18,4,,,,,,,,,,,
P^2 h1^2,18,10,,,,,P^2 h1^3,,,,,,
c1,19,3,,,,,,,h2 c1,,,,
P^2 h2,19,9,,,P^2 h0 h2,,,,,,,,
P^2 h0 h2,19,10,,,P^2 h1^3,,,,,,,,
P^2 h1^3,19,11,,,,,,,,,,,
g,20,4,,,h2 e0,,h1 g,,h2 g,,,,
h2 e0,20,5,,,h0 h2 e0,,,,h0 h2 g,,,,
h0 h2 e0,20,6,,,,,,h,P h1 d0,,,,
h2^2 h4,21,3,,,,,,,,,,,
h1 g,21,5,,,,h,P d0,,,,,,
h2 c1,22,4,,,,,,,,,,,
P d0,22,8,,,,,P h1 d0,,,,,,
h4 c0,23,4,,,,,h1 h4 c0,,,,,,
h2 g,23,5,,,h0 h2 g,,,,h2^2 g,,,,
h0 h2 g,23,6,,h,P h1 d0,,,,,,,,
P h1 d0,23,9,-1,,,,,,,,,,
h0^2 i,23,9,1,,h0^3 i,h,P^2 c0,,,,,,
h0^3 i,23,10,,,h0^4 i,,,,,,,,
h0^4 i,23,11,,,h0^5 i,,,,,,,,
h0^5 i,23,12,,,,,,,,,,,
h1 h4 c0,24,5,,,,,,,,,,,
P^2 c0,24,11,,,,,P^2 h1 c0,,,,,,
P^2 h1 c0,25,12,,,,,,,,,,,
P^3 h1,25,13,,,,,P^3 h1^2,,,,,,
h2^2 g,26,6,,,,,,,,,,,
P^3 h1^2,26,14,,,,,P^3 h1^3,,,,,,
P^3 h2,27,13,,,P^3 h0 h2,,,,,,,,
P^3 h0 h2,27,14,,,P^3 h1^3,,,,,,,,
P^3 h1^3,27,15,,,,,,,,,,,
d0^2,28,8,,,,,,,,,,,
h4^2,30,2,,,,,h1 h4^2,h,p,,,,
h1 h4^2,31,3,,,,,,,,,,,
n,31,5,,,,,,,h2 n,,,,
h0^10 h5,31,11,,,h0^11 h5,h,P^3 c0,,,,,,
h0^11 h5,31,12,,,h0^12 h5,,,,,,,,
h0^12 h5,31,13,,,h0^13 h5,,,,,,,,
h0^13 h5,31,14,,,h0^14 h5,,,,,,,,
h0^14 h5,31,15,,,h0^15 h5,,,,,,,,
h0^15 h5,31,16,,,,,,,,,,,
h1 h5,32,2,,,,,h1^2 h5,,,,,,
d1,32,4,,,,,,,h2 d1,,,,
q,32,6,,,,,h1 q,h,h1 e0^2,,,,
P^3 c0,32,15,,,,,P^3 h1 c0,,,,,,
h1^2 h5,33,3,,,,,h1^3 h5,,,,,,
p,33,4,,,,,,,,,,,
h1 q,33,7,,,,,,,,,,,
P^3 h1 c0,33,16,,,,,,,,,,,
P^4 h1,33,17,,,,,P^4 h1^2,,,,,,
h0 h2 h5,34,3,,,h1^3 h5,,,,,,,,
h1^3 h5,34,4,,,,,,,,,,,
h2 n,34,6,,,,,,,,,,,
e0^2,34,8,,,,,h1 e0^2,,,,,,
P^4 h1^2,34,18,,,,,P^4 h1^3,,,,,,
h2 d1,35,5,,,,,,,h2^2 d1,,,,
h1 e0^2,35,9,,,,,,,,,,,
P^4 h2,35,17,,,P^4 h0 h2,,,,,,,,
P^4 h0 h2,35,18,,,P^4 h1^3,,,,,,,,
P^4 h1^3,35,19,,,,,,,,,,,
T,36,6,,,,,,,c1 g,,,,
h2^2 h5,37,3,,,,,,,h1^2 h3 h5,,,,
x,37,5,,,,,h2^2 d1,,,,,,
h0^2 h3 h5,38,4,,,h0^3 h3 h5,h,c1 g,,,,,,
h0^3 h3 h5,38,5,,,,,,,,,,,
h2^2 d1,38,6,,,,,,,,,,,
h1 h3 h5,39,3,,,,,h1^2 h3 h5,,,,,,
h5 c0,39,4,,,,,h1 h5 c0,,,,,,
h1 e1,39,5,,,,,,,,,,,
c1 g,39,7,,,,,,,,,,,
u,39,9,,,,,h1 u,h,d0^3,,,,
P^2 h0^2 i,39,17,,,P^2 h0^3 i,h,P^4 c0,,,,,,
P^2 h0^3 i,39,18,,,P^2 h0^4 i,,,,,,,,
P^2 h0^4 i,39,19,,,P^2 h0^5 i,,,,,,,,
P^2 h0^5 i,39,20,,,,,,,,,,,
h1^2 h3 h5,40,4,-1,,,,,,,,,,
f1,40,4,1,,,,h1 f1,,,,,,
h1 h5 c0,40,5,,,,,,,,,,,
P h1 h5,40,6,,,P h1^2 h5,,,,,,,,
