name,stem,Adams filtration,weight,tautorsion,h0info,h0target,h1info,h1target,h2info,h2target,h3info,h3target
{0-0},0,0,0,0,,{1-0},,{1-1},,{1-2},,{1-3}
{1-0},0,1,0,0,,{2-0},,,,{2-2},,{2-4}
{2-0},0,2,0,0,,{3-0},,,1,{3-1},,{3-3}
{3-0},0,3,0,0,,{4-0},,,,,,{4-3}
{4-0},0,4,0,0,,{5-0},,,,,,
{5-0},0,5,0,0,,{6-0},,,,,,
{6-0},0,6,0,0,,{7-0},,,,,,
{7-0},0,7,0,0,,{8-0},,,,,,
{8-0},0,8,0,0,,{9-0},,,,,,
{9-0},0,9,0,0,,{10-0},,,,,,
{10-0},0,10,0,0,,{11-0},,,,,,
{11-0},0,11,0,0,,{12-0},,,,,,
{12-0},0,12,0,0,,{13-0},,,,,,
{13-0},0,13,0,0,,{14-0},,,,,,
{14-0},0,14,0,0,,{15-0},,,,,,
{15-0},0,15,0,0,,{16-0},,,,,,
{16-0},0,16,0,0,,{17-0},,,,,,
{17-0},0,17,0,0,,{18-0},,,,,,
{18-0},0,18,0,0,,{19-0},,,,,,
{19-0},0,19,0,0,,{20-0},,,,,,
{20-0},0,20,0,0,,{21-0},,,,,,
{21-0},0,21,0,0,,{22-0},,,,,,
{22-0},0,22,0,0,,{23-0},,,,,,
{23-0},0,23,0,0,,{24-0},,,,,,
{24-0},0,24,0,0,,{25-0},,,,,,
{25-0},0,25,0,0,,{26-0},,,,,,
{26-0},0,26,0,0,,{27-0},,,,,,
{27-0},0,27,0,0,,{28-0},,,,,,
{28-0},0,28,0,0,,{29-0},,,,,,
{29-0},0,29,0,0,,{30-0},,,,,,
{30-0},0,30,0,0,,{31-0},,,,,,
{31-0},0,31,0,0,,{32-0},,,,,,
{32-0},0,32,0,0,,{33-0},,,,,,
{33-0},0,33,0,0,,{34-0},,,,,,
{34-0},0,34,0,0,,{35-0},,,,,,
{35-0},0,35,0,0,,{36-0},,,,,,
{36-0},0,36,0,0,,{37-0},,,,,,
{37-0},0,37,0,0,,{38-0},,,,,,
{38-0},0,38,0,0,,{39-0},,,,,,
{39-0},0,39,0,0,,{40-0},,,,,,
{40-0},0,40,0,0,,{41-0},,,,,,
{41-0},0,41,0,0,,{42-0},,,,,,
{42-0},0,42,0,0,,{43-0},,,,,,
{43-0},0,43,0,0,,{44-0},,,,,,
{44-0},0,44,0,0,,{45-0},,,,,,
{45-0},0,45,0,0,,{46-0},,,,,,
{46-0},0,46,0,0,,{47-0},,,,,,
{47-0},0,47,0,0,,{48-0},,,,,,
{48-0},0,48,0,0,,{49-0},,,,,,
{49-0},0,49,0,0,,{50-0},,,,,,
{50-0},0,50,0,0,,{51-0},,,,,,
{51-0},0,51,0,0,,{52-0},,,,,,
{52-0},0,52,0,0,,{53-0},,,,,,
{53-0},0,53,0,0,,{54-0},,,,,,
{54-0},0,54,0,0,,{55-0},,,,,,
{55-0},0,55,0,0,,{56-0},,,,,,
{56-0},0,56,0,0,,{57-0},,,,,,
{57-0},0,57,0,0,,{58-0},,,,,,
{58-0},0,58,0,0,,{59-0},,,,,,
{59-0},0,59,0,0,,{60-0},,,,,,
{60-0},0,60,0,0,,{61-0},,,,,,
{61-0},0,61,0,0,,{62-0},,,,,,
{62-0},0,62,0,0,,{63-0},,,,,,
{63-0},0,63,0,0,,{64-0},,,,,,
{64-0},0,64,0,0,,,,,,,,
{65-0},0,65,0,0,,,,,,,,
{1-1},1,1,1,0,,,,{2-1},,,,{2-5}
{2-1},2,2,2,0,,,,{3-1},,,,{3-5}
{1-2},3,1,2,0,,{2-2},,,,{2-3},,
{2-2},3,2,2,0,1,{3-1},,,,,,
{3-1},3,3,3,0,,,,{4-1},,,,
{4-1},4,4,4,1,,,,{5-1},,,,
{5-1},5,5,5,1,,,,{6-1},,,,
{2-3},6,2,4,0,,,,,,{3-5},,
{6-1},6,6,6,1,,,,{7-1},,,,
{1-3},7,1,4,0,,{2-4},,{2-5},,,,{2-6}
{2-4},7,2,4,0,,{3-3},,,,,,{3-6}
{3-3},7,3,4,0,,{4-3},,,,,,
{4-3},7,4,4,0,,,,,,,,
{7-1},7,7,7,1,,,,{8-1},,,,
{2-5},8,2,5,0,,,,{3-5},,,,
{3-4},8,3,5,0,,,,{4-4},,,,
{8-1},8,8,8,1,,,,{9-1},,,,
{3-5},9,3,6,0,,,,,,,,
{4-4},9,4,6,0,,,,{5-4},,,,
{5-3},9,5,5,0,,,,{6-3},,,1,{6-9}
{9-1},9,9,9,1,,,,{10-1},,,,
{5-4},10,5,7,1,,,,{6-4},,,,
{6-3},10,6,6,0,,,,{7-3},,,1,{7-9}
{10-1},10,10,10,1,,,,{11-1},,,,
{5-5},11,5,6,0,,{6-5},,,,{6-7},,
{6-4},11,6,8,1,,,,{7-4},,,,
{6-5},11,6,6,0,1,{7-3},,,,,,
{7-3},11,7,7,0,,,,{8-3},,,1,{8-9}
{11-1},11,11,11,1,,,,{12-1},,,,
{7-4},12,7,9,1,,,,{8-4},,,,
{8-3},12,8,8,1,,,,{9-3},,,1,{9-9}
{12-1},12,12,12,1,,,,{13-1},,,,
{8-4},13,8,10,1,,,,{9-4},,,,
{9-3},13,9,9,1,,,,{10-3},,,1,{10-10}
{13-1},13,13,13,1,,,,{14-1},,,,
{2-6},14,2,8,0,,{3-6},,,,,,{3-11}
{3-6},14,3,8,0,,,,,,,,
{4-6},14,4,8,0,,{5-7},,{5-8},,{5-10},,
{5-7},14,5,8,0,,{6-7},,,,{6-10},,
{6-7},14,6,8,0,,,,,1,{7-9},,
{9-4},14,9,11,1,,,,{10-4},,,,
{10-3},14,10,10,1,,,,{11-3},,,1,{11-10}
{14-1},14,14,14,1,,,,{15-1},,,,
{1-4},15,1,8,0,,{2-7},,{2-8},,{2-9},,
{2-7},15,2,8,0,,{3-7},,,,{3-9},,
{3-7},15,3,8,0,,{4-7},,,1,{4-10},,
{4-7},15,4,8,0,,{5-9},,,,,,
{5-8},15,5,9,0,,,,{6-9},,,,
{5-9},15,5,8,0,,{6-8},,,,,,
{6-8},15,6,8,0,,{7-7},,,,,,
{7-7},15,7,8,0,,{8-7},,,,,,
{8-7},15,8,8,0,,,,,,,,
{10-4},15,10,12,1,,,,{11-4},,,,
{11-3},15,11,11,1,,,,{12-3},,,1,{12-10}
{15-1},15,15,15,1,,,,{16-1},,,,
{2-8},16,2,9,0,,,,{3-8},,,,
{6-9},16,6,10,0,,,,{7-9},,,,
{7-8},16,7,9,0,,,,{8-8},,,,
{11-4},16,11,13,1,,,,{12-4},,,,
{12-3},16,12,12,1,,,,{13-3},,,1,{13-10}
{16-1},16,16,16,1,,,,{17-1},,,,
{3-8},17,3,10,0,,,,{4-10},,,,
{4-8},17,4,10,0,,{5-10},,{5-11},,{5-13},,{5-16}
{5-10},17,5,10,0,,{6-10},,,,{6-12},,
{6-10},17,6,10,0,1,{7-9},,,1,{7-11},,
{7-9},17,7,11,0,,,,{8-9},,,,
{8-8},17,8,10,0,,,,{9-8},,,,
{9-7},17,9,9,0,,,,{10-7},,,1,{10-16}
{12-4},17,12,14,1,,,,{13-4},,,,
{13-3},17,13,13,1,,,,{14-3},,,1,{14-10}
{17-1},17,17,17,1,,,,{18-1},,,,
{2-9},18,2,10,0,,{3-9},,,,{3-11},,
{3-9},18,3,10,0,1,{4-10},,,,,,
{4-10},18,4,11,0,,,,,,,,
{4-9},18,4,10,0,1,{5-11},,,,{5-14},,
{5-11},18,5,11,0,,,,{6-11},,,,{6-16}
{8-9},18,8,12,1,,,,{9-9},,,,
{9-8},18,9,11,1,,,,{10-8},,,,
{10-7},18,10,10,0,,,,{11-7},,,1,{11-16}
{13-4},18,13,15,1,,,,{14-4},,,,
{14-3},18,14,14,1,,,,{15-3},,,1,{15-10}
{18-1},18,18,18,1,,,,{19-1},,,,
{3-10},19,3,11,0,,,,,,{4-12},,
{6-11},19,6,12,1,,,,{7-11},,,,{7-18}
{9-10},19,9,10,0,,{10-9},,,,{10-13},,
{9-9},19,9,13,1,,,,{10-10},,,,
{10-8},19,10,12,1,,,,{11-8},,,,
{10-9},19,10,10,0,1,{11-7},,,,,,
{11-7},19,11,11,0,,,,{12-7},,,1,{12-16}
{14-4},19,14,16,1,,,,{15-4},,,,
{15-3},19,15,15,1,,,,{16-3},,,1,{16-10}
{19-1},19,19,19,1,,,,{20-1},,,,
{4-11},20,4,11,0,1,{5-13},,{5-14},1,{5-15},1,{5-18}
{5-13},20,5,12,0,,{6-12},,,,{6-15},,
{6-12},20,6,12,0,1,{7-11},,,,,,
{7-11},20,7,13,1,,,,{8-12},,,,
{10-10},20,10,14,1,,,,{11-10},,,,
{11-8},20,11,13,1,,,,{12-8},,,,
{12-7},20,12,12,1,,,,{13-7},,,1,{13-16}
{15-4},20,15,17,1,,,,{16-4},,,,
{16-3},20,16,16,1,,,,{17-3},,,1,{17-10}
{20-1},20,20,20,1,,,,{21-1},,,,
{3-11},21,3,12,0,,,,,,,,
{5-14},21,5,12,0,,,,,,,1,{6-20}
{8-12},21,8,14,1,,,,{9-13},,,,
{11-10},21,11,15,1,,,,{12-10},,,,
