source,type,stem,Adams filtration,weight,target,sourcex,sourcey,targetx,targety
h1^2 X2,h0,65,9,36,h2 B22,0.5,0.5,0.5,-0.5
_h3 C'',h0,75,9,40,D h0^2 h3 g2,0,0.5,0.5,-0.5
h0 h2 h6 g,h0,86,7,46,h1 h6 c0 d0,0.5,0.5,0.5,-0.5
h2 g Q3,h0,90,10,50,D h1^2 g2 g,-0.5,0.5,-0.5,-0.5
_t h2 g Q3,h0,91,9,48,D h2^2 A',-0.5,0.5,-0.5,-0.5
_h3 g C'',h0,95,13,52,M D h2^2 g,0.5,0.5,0.5,-0.5
"y94,10",h0,94,10,50,"h1^2 x92,12",-0.5,0.5,0,-0.5
"x96,8",h0,96,8,50,D^2 M h2,0.5,0.5,0.5,0
"_x98,14",h0,99,13,52,D^2 M h2^2,0,1,0.5,0
D D1 h2 g,h0,99,13,54,D B6 g,-0.2,0.3,-0.2,-0.3
"h2 x101,8",h0,104,9,56,"M D1 h3 + x104,11",0.5,0,0.5,0
h0 h3 D2,h1,65,8,34,t B5,0.5,0.5,0,-0.5
h0^6 h4 h6,h1,78,8,40,D^2 n,0,1,0,-1
i1,h2,53,7,30,g T,0,0.5,-0.5,0
Q2,h2,57,7,30,_t^2 c1 g^2,0,0.5,-0.5,0
_h1 j1,h2,61,7,33,h1^2 E1,0,0.5,-0.5,0
h2 h5^2,h2,65,3,34,t h1 Q3,0,0.5,-0.5,0
D1 h3^2,h2,66,6,36,h0 h2 G0,0,0.5,-0.5,0
h0 d2,h2,68,5,36,d0 Q2,1,0,0,-0.5
h0^2 h4 Q3,h2,82,8,44,"P h1 x76,6",0,0.5,-0.5,0
_P h1^2 h6 c0,h2,82,9,42,D^2 x,0,0.5,-1,0
P^2 h2 h6,h2,82,10,42,D^2 h0 x,0,0.5,-0.5,-0.5
_h1^2 g j1,h2,82,12,46,M h0 g^2,0.5,0.8,-0.5,0
_D h1^2 j1,h2,86,12,46,_t M h0 h2 g^2,0.5,0,0,-0.5
g^2 i1,h2,93,15,54,g^3 T,0.5,0,0,-0.5
"y94,10",h2,94,10,50,t D D1 h1 g,0,0.5,-0.5,0
"h1 x94,8",h2,95,9,50,_h1^2 e1 Q2,0.5,0,0,-0.5
g^2 Q2,h2,97,15,54,_t^2 c1 g^4,0.5,0,0,-0.5
"x99,7",h2,99,7,52,"h1 h3 x94,8 + t h2 x99,9",0,0.5,-0.5,0
"x99,9",h2,99,9,53,h1 g2 Q2,0,0.5,-0.5,0
"h0 x97,7",h2,97,8,50,"x100,13",0.6,0.4,-0.6,-0.4
D^2 i1,h2,101,15,54,D^2 g T,0,0.5,-0.5,0
_h1 g^2 j1,h2,101,15,57,D h1^2 e1 g^2,0.5,0,0,-0.5
"h1^2 x101,8",h2,103,10,56,_D h1^2 g j1,0.5,0,0,-0.5
_D^2 h1 B6,h2,105,15,54,_t^2 D^2 c1 g^2,0.5,0,0,-0.5
"_t h2^2 x99,9",h2,106,10,55,"x109,13",0,0.5,-0.5,0
i1^2,h2,106,14,60,h0 h2 g^2 G0,0.6,0,0,-0.6
_g d1 i1,h2,106,14,59,D^2 h1 g^2 g2,0,0.5,-0.5,0
