name,stem,Adams filtration,weight,cell,shift,h1info,h1target,drinfo,drtarget
h1,1,1,1,0,0,,loc,,
_h1^4,5,3,3,1,0,,loc,,
c0,8,3,5,0,0,,loc,,
P h1,9,5,5,0,0,,loc,,
_h1^2 c0,11,4,6,1,0,,loc,,
_P h1^4,13,7,7,1,0,,loc,,
d0,14,4,8,0,0,,h1 d0,,
h1 d0,15,5,9,0,0,,h1^2 d0,,
h1^2 d0,16,6,10,0,0,,loc,,
P c0,16,7,9,0,0,,loc,,
e0,17,4,10,0,0,,loc,2,h1^2 d0
P^2 h1,17,9,9,0,0,,loc,,
_h1^4 d0,19,7,11,1,0,,loc,,
_P h1^2 c0,19,8,10,1,0,,loc,,
_h1^2 e0,20,5,11,1,0,,loc,0,_h1^4 d0
_P^2 h1^4,21,11,11,1,0,,loc,,
c0 d0,22,7,13,0,0,,h1 c0 d0,,
P d0,22,8,12,0,0,,loc,,
_c0 d0,23,6,12,1,0,,loc,0,P d0
h1 c0 d0,23,8,14,0,0,,h1^2 c0 d0,,
h1^2 c0 d0,24,9,15,0,0,,loc,,
P^2 c0,24,11,13,0,0,,loc,,
c0 e0,25,7,15,0,0,,loc,2,h1^2 c0 d0
P e0,25,8,14,0,0,,loc,,
P^3 h1,25,13,13,0,0,,loc,,
_c0 e0,26,6,14,1,0,,loc,0,P e0
_P h1^4 d0,27,11,15,1,0,,loc,,
_P^2 h1^2 c0,27,12,14,1,0,,loc,,
d0^2,28,8,16,0,0,,h1 d0^2,,
_P h1^2 e0,28,9,15,1,0,,loc,0,_P h1^4 d0
h1 d0^2,29,9,17,0,0,,h1^2 d0^2,,
_P^3 h1^4,29,15,15,1,0,,loc,,
h1^2 d0^2,30,10,18,0,0,,loc,,
P c0 d0,30,11,17,0,0,,loc,,
P^2 d0,30,12,16,0,0,,P^2 h1 d0,,
d0 e0,31,8,18,0,0,,loc,2,h1^2 d0^2
_h1^2 d0^2,31,9,17,1,0,,loc,0,P c0 d0
P^2 h1 d0,31,13,17,0,0,,loc,,
_P h1 c0 d0,32,11,17,1,0,,loc,1,P^2 h1 d0
P^3 c0,32,15,17,0,0,,loc,,
P c0 e0,33,11,19,0,0,,loc,,
P^2 e0,33,12,18,0,0,,loc,,
P^4 h1,33,17,17,0,0,,loc,,
e0^2,34,8,20,0,0,,h1 e0^2,,
_h1^2 d0 e0,34,9,19,1,0,,loc,0,P c0 e0
_P c0 e0,34,10,18,1,0,,loc,0,P^2 e0
h1 e0^2,35,9,21,0,0,,h1^2 e0^2,,
_P^2 h1^4 d0,35,15,19,1,0,,loc,,
_P^3 h1^2 c0,35,16,18,1,0,,loc,,
h1^2 e0^2,36,10,22,0,0,,loc,,
c0 d0^2,36,11,21,0,0,,loc,,
P d0^2,36,12,20,0,0,,loc,,
_P^2 h1^2 e0,36,13,19,1,0,,loc,0,_P^2 h1^4 d0
e0 g,37,8,22,0,0,,loc,2,h1^2 e0^2
_h1^2 e0^2,37,9,21,1,0,,loc,0,c0 d0^2
_c0 d0^2,37,10,20,1,0,,loc,0,P d0^2
_P^4 h1^4,37,19,19,1,0,,loc,,
P^2 c0 d0,38,15,21,0,0,,loc,,
P^3 d0,38,16,20,0,0,,loc,,
u,39,9,21,0,0,,h1 u,,
c0 d0 e0,39,11,23,0,0,,loc,,
P d0 e0,39,12,22,0,0,,loc,,
_P h1^2 d0^2,39,13,21,1,0,,loc,0,P^2 c0 d0
_P^2 c0 d0,39,14,20,1,0,,loc,0,P^3 d0
_h1^2 e0 g,40,9,23,1,0,,loc,0,c0 d0 e0
_c0 d0 e0,40,10,22,1,-1,,loc,0,P d0 e0
h1 u,40,10,22,0,1,,h1^2 u,,
P^4 c0,40,19,21,0,0,,loc,,
_t h2 e0 g,41,8,22,1,0,h,v,1,h1 u
h1^2 u,41,11,23,0,0,,loc,,
P^2 c0 e0,41,15,23,0,0,,loc,,
P^3 e0,41,16,22,0,0,,loc,,
P^5 h1,41,21,21,0,0,,loc,,
v,42,9,23,0,0,,loc,1,h1^2 u
c0 e0^2,42,11,25,0,0,,h1 c0 e0^2,,
d0^3,42,12,24,0,0,,loc,,
_P h1^2 d0 e0,42,13,23,1,0,,loc,0,P^2 c0 e0
_P^2 c0 e0,42,14,22,1,0,,loc,0,P^3 e0
_c0 e0^2,43,10,24,1,0,,loc,0,d0^3
_h1^3 u,43,11,23,1,0,,loc,,
h1 c0 e0^2,43,12,26,0,0,,h1^2 c0 e0^2,,
_P^3 h1^4 d0,43,19,23,1,0,,loc,,
_P^4 h1^2 c0,43,20,22,1,0,,loc,,
_h1 v,44,9,23,1,0,,loc,0,_h1^3 u
h1^2 c0 e0^2,44,13,27,0,0,,loc,,
P c0 d0^2,44,15,25,0,0,,loc,,
P^2 d0^2,44,16,24,0,0,,loc,,
_P^3 h1^2 e0,44,17,23,1,0,,loc,0,_P^3 h1^4 d0
c0 e0 g,45,11,27,0,0,,loc,2,h1^2 c0 e0^2
d0^2 e0,45,12,26,0,0,,loc,,
_h1^2 d0^3,45,13,25,1,0,,loc,0,P c0 d0^2
