name,stem,Adams filtration,weight,cell,shift,h1info,h1target,drinfo,drtarget
h1,1,1,1,0,0,,loc,,
_h1^4,5,3,3,1,0,,loc,,
c0,8,3,5,0,0,,loc,,
P h1,9,5,5,0,0,,loc,,
_h1^2 c0,11,4,6,1,0,,loc,,
_P h1^4,13,7,7,1,0,,loc,,
d0,14,4,8,0,0,,h1 d0,,
h1 d0,15,5,9,0,0,,,,
P c0,16,7,9,0,0,,loc,,
P^2 h1,17,9,9,0,0,,loc,,
_P h1^2 c0,19,8,10,1,0,,loc,,
_P^2 h1^4,21,11,11,1,0,,loc,,
c0 d0,22,7,13,0,0,,h1 c0 d0,,
h1 c0 d0,23,8,14,0,0,,,,
P^2 c0,24,11,13,0,0,,loc,,
P^3 h1,25,13,13,0,0,,loc,,
_P^2 h1^2 c0,27,12,14,1,0,,loc,,
d0^2,28,8,16,0,0,,h1 d0^2,,
h1 d0^2,29,9,17,0,0,,,,
_P^3 h1^4,29,15,15,1,0,,loc,,
P^2 d0,30,12,16,0,0,,,,
P^3 c0,32,15,17,0,0,,loc,,
P^4 h1,33,17,17,0,0,,loc,,
e0^2,34,8,20,0,0,,h1 e0^2,,
h1 e0^2,35,9,21,0,0,,,,
_P^3 h1^2 c0,35,16,18,1,0,,loc,,
_P^4 h1^4,37,19,19,1,0,,loc,,
u,39,9,21,0,0,,,,
P^4 c0,40,19,21,0,0,,loc,,
P^5 h1,41,21,21,0,0,,loc,,
c0 e0^2,42,11,25,0,0,,h1 c0 e0^2,,
h1 c0 e0^2,43,12,26,0,0,,,,
_P^4 h1^2 c0,43,20,22,1,0,,loc,,
_P^5 h1^4,45,23,23,1,0,,loc,,
B1,46,7,25,0,0,,h1 B1,,
u',46,11,25,0,0,,h1 u',,
P^4 d0,46,20,24,0,0,,,,
h1 B1,47,8,26,0,0,,h1^2 B1,,
h1 u',47,12,26,0,0,,,,
h1^2 B1,48,9,27,0,0,,h1^3 B1,,
d0 e0^2,48,12,28,0,0,,h1 d0 e0^2,,
P^5 c0,48,23,25,0,0,,loc,,
h1^3 B1,49,10,28,0,0,,h1^4 B1,,
h1 d0 e0^2,49,13,29,0,0,,,,
P^6 h1,49,25,25,0,0,,loc,,
_h1^3 B1,50,9,27,1,0,,_h1^4 B1,,
h1^4 B1,50,11,29,0,0,,h1^5 B1,,
_h1^4 B1,51,10,28,1,0,,_h1^5 B1,,
h1^5 B1,51,12,30,0,0,,h1^6 B1,,
_P^5 h1^2 c0,51,24,26,1,0,,loc,,
_h1^5 B1,52,11,29,1,0,,_h1^6 B1,,
_t h0 e0^3,52,12,28,1,0,h,d0 u,,
h1^6 B1,52,13,31,0,0,,,,
B8,53,9,29,0,0,,h1 B8,,
x',53,10,28,0,0,,h1 x',,
_h1^6 B1,53,12,30,1,0,,_h1^7 B1,,
d0 u,53,13,29,0,0,,,,
_P^6 h1^4,53,27,27,1,0,,loc,,
h1 B8,54,10,30,0,0,,h1^2 B8,,
h1 x',54,11,29,0,0,,h1^2 x',,
_h1^7 B1,54,13,31,1,0,,_h1^8 B1,,
h1^2 B8,55,11,31,0,0,,h1^3 B8,,
h1^2 x',55,12,30,0,0,,h1^3 x',,
_h1^8 B1,55,14,32,1,0,,_h1^9 B1,,
_h1^2 B8,56,10,30,1,0,,_h1^3 B8,,
h1^3 B8,56,12,32,0,0,,h1^4 B8,,
h1^3 x',56,13,31,0,0,,,,
_h1^9 B1,56,15,33,1,0,,_h1^10 B1,,
P^6 c0,56,27,29,0,0,,loc,,
_h1^3 B8,57,11,31,1,0,,_h1^4 B8,,
h1^4 B8,57,13,33,0,0,,h1^5 B8,,
_h1^10 B1,57,16,34,1,0,,,,
P^7 h1,57,29,29,0,0,,loc,,
_h1^4 B8,58,12,32,1,0,,_h1^5 B8,,
_h1^4 x',58,13,31,1,0,,_h1^5 x',,
h1^5 B8,58,14,34,0,0,,h1^6 B8,,
B21,59,10,32,0,0,,h1 B21,,
_h1^5 B8,59,13,33,1,0,,_h1^6 B8,,
_h1^5 x',59,14,32,1,0,,_h1^6 x',,
h1^6 B8,59,15,35,0,0,,h1^7 B8,,
_P^6 h1^2 c0,59,28,30,1,0,,loc,,
h1 B21,60,11,33,0,0,,,,
_h1^6 B8,60,14,34,1,0,,_h1^7 B8,,
_h1^6 x',60,15,33,1,0,,_h1^7 x',,
h1^7 B8,60,16,36,0,0,,,,
c0 x',61,13,33,0,0,,h1 c0 x',,
_h1^7 B8,61,15,35,1,0,,_h1^8 B8,,
_h1^7 x',61,16,34,1,0,,,,
_P^7 h1^4,61,31,31,1,0,,loc,,
h1 c0 x',62,14,34,0,0,,h1^2 c0 x',,
_h1^8 B8,62,16,36,1,0,,_h1^9 B8,,
_t P^2 h0 d0^2 e0,62,20,32,1,0,,,,
P^6 d0,62,28,32,0,0,,,,
h1^2 c0 x',63,15,35,0,0,,h1^3 c0 x',,
_h1^9 B8,63,17,37,1,0,,,,
U,64,14,34,0,0,,h1 U,,
h1^3 c0 x',64,16,36,0,0,,,,
P^7 c0,64,31,33,0,0,,loc,,
h1 U,65,15,35,0,0,,h1^2 U,,
