name,stem,Adams filtration,weight,h0target,h1target,h2target,h3target,drinfo,drvalue
[0-0],0,0,0,v0^1[0-0],loc,[1-1],[1-2]+v0^2[1-2]+v0^3[1-2],,
v0^1[0-0],0,1,0,v0^2[0-0],,v0^1[1-1],v0^1[1-2]+v0^3[1-2],,
v0^2[0-0],0,2,0,v0^3[0-0],,,v0^2[1-2],,
v0^3[0-0],0,3,0,v0^4[0-0],,,v0^3[1-2],,
v0^4[0-0],0,4,0,v0^5[0-0],,,,,
v0^5[0-0],0,5,0,v0^6[0-0],,,,,
v0^6[0-0],0,6,0,v0^7[0-0],,,,,
v0^7[0-0],0,7,0,v0^8[0-0],,,,,
v0^8[0-0],0,8,0,v0^9[0-0],,,,,
v0^9[0-0],0,9,0,v0^10[0-0],,,,,
v0^10[0-0],0,10,0,v0^11[0-0],,,,,
v0^11[0-0],0,11,0,v0^12[0-0],,,,,
v0^12[0-0],0,12,0,v0^13[0-0],,,,,
v0^13[0-0],0,13,0,v0^14[0-0],,,,,
v0^14[0-0],0,14,0,v0^15[0-0],,,,,
v0^15[0-0],0,15,0,v0^16[0-0],,,,,
v0^16[0-0],0,16,0,v0^17[0-0],,,,,
v0^17[0-0],0,17,0,v0^18[0-0],,,,,
v0^18[0-0],0,18,0,v0^19[0-0],,,,,
v0^19[0-0],0,19,0,v0^20[0-0],,,,,
v0^20[0-0],0,20,0,v0^21[0-0],,,,,
v0^21[0-0],0,21,0,v0^22[0-0],,,,,
v0^22[0-0],0,22,0,v0^23[0-0],,,,,
v0^23[0-0],0,23,0,v0^24[0-0],,,,,
v0^24[0-0],0,24,0,v0^25[0-0],,,,,
v0^25[0-0],0,25,0,v0^26[0-0],,,,,
v0^26[0-0],0,26,0,v0^27[0-0],,,,,
v0^27[0-0],0,27,0,v0^28[0-0],,,,,
v0^28[0-0],0,28,0,v0^29[0-0],,,,,
v0^29[0-0],0,29,0,v0^30[0-0],,,,,
v0^30[0-0],0,30,0,v0^31[0-0],,,,,
v0^31[0-0],0,31,0,v0^32[0-0],,,,,
v0^32[0-0],0,32,0,v0^33[0-0],,,,,
v0^33[0-0],0,33,0,v0^34[0-0],,,,,
v0^34[0-0],0,34,0,v0^35[0-0],,,,,
v0^35[0-0],0,35,0,v0^36[0-0],,,,,
v0^36[0-0],0,36,0,v0^37[0-0],,,,,
v0^37[0-0],0,37,0,v0^38[0-0],,,,,
v0^38[0-0],0,38,0,v0^39[0-0],,,,,
v0^39[0-0],0,39,0,v0^40[0-0],,,,,
v0^40[0-0],0,40,0,,,,,,
[1-1],3,1,2,v0^1[1-1],,[2-1]+v1^2[2-0],,,
v0^1[1-1],3,2,2,,,,,,
v1^2[1-0],5,3,3,,loc,,v1^2v2^1[2-0],,
[2-1],6,2,4,,v1^2[3-0],[3-1],v1^2v2^1[3-0],,
[1-2],7,1,4,v0^1[1-2],[2-2]+v2^1[2-0],,[2-3]+v2^2[2-0]+v1^6[2-0],,
v0^1[1-2],7,2,4,v0^2[1-2],,,,,
v0^2[1-2],7,3,4,v0^3[1-2],,,,,
v0^3[1-2],7,4,4,,,,,,
[2-2],8,2,5,,[3-1],,,,
v2^1[2-0],8,3,5,,loc,,,,
[3-1],9,3,6,,,,,,
v1^4[1-0],9,5,5,,loc,,v1^4v2^1[2-0],,
v1^2v2^1[1-0],11,4,6,v0^1v1^2v2^1[1-0],loc,,,,
v0^1v1^2v2^1[1-0],11,5,6,v0^2v1^2v2^1[1-0],,,,,
v0^2v1^2v2^1[1-0],11,6,6,,,,,,
v1^6[1-0],13,7,7,,loc,,v1^6v2^1[2-0],,
[2-3],14,2,8,,v2^2[3-0]+v1^6[3-0],v0^1v3^1[3-0],[3-4]+v1^6v2^1[3-0],,
v0^1[2-3],14,3,8,,,,,,
v2^2[2-0],14,4,8,,loc,v0^1v3^1[3-0],,,
v0^1v2^2[2-0],14,5,8,,,,,,
v0^2v2^2[2-0],14,6,8,,,,,,
[1-3],15,1,8,,,,,2,v0^1[2-3]
v0^1[1-3],15,2,8,,,,,3,v0^1v2^2[2-0]
v0^2[1-3],15,3,8,,,,,3,v0^2v2^2[2-0]
v0^3[1-3],15,4,8,v0^4[1-3],v1^4v2^1[2-0],,,,
v0^4[1-3],15,5,8,v0^5[1-3],,,,,
v0^5[1-3],15,6,8,v0^6[1-3],,,,,
v0^6[1-3],15,7,8,v0^7[1-3],,,,,
v0^7[1-3],15,8,8,,,,,,
[2-4],16,2,9,,[3-2]+v0^1v3^1[3-0]+v1^4v2^1[3-0],,v2^1[3-2]+v1^10[3-0],,
v1^4v2^1[2-0],16,7,9,,loc,,,,
[3-2],17,3,10,,[4-1],v0^1v1^1[4-1],v2^1[4-1],,
v3^1[3-0],17,4,10,,loc,,,2,v2^2[4-0]
v0^1v3^1[3-0],17,5,10,,,v0^1v1^1[4-1],,,
v0^2v3^1[3-0],17,6,10,,,,,,
v1^8[1-0],17,9,9,,loc,,v1^8v2^1[2-0],,
[2-5],18,2,10,v0^1[2-5],,[3-4],,,
v0^1[2-5],18,3,10,,,,,,
v2^2[2-1],18,4,10,,,,,2,v0^2v3^1[3-0]
[4-1],18,4,11,,,,v1^1[5-1]+v1^10[5-0],,
[3-3],19,3,11,,v1^8[4-0],[4-2],v1^8v2^1[4-0],,
v1^2v2^2[3-0],19,7,11,,loc,,,,
v1^6v2^1[1-0],19,8,10,v0^1v1^6v2^1[1-0],loc,,,,
v0^1v1^6v2^1[1-0],19,9,10,v0^2v1^6v2^1[1-0],,,,,
v0^2v1^6v2^1[1-0],19,10,10,,,,,,
v1^2[2-4],20,4,11,,v1^2[3-2]+v1^6v2^1[3-0],,,,
v2^3[2-0],20,5,11,,loc,,,2,v1^2v2^2[3-0]
v1^1[4-1],20,5,12,v0^1v1^1[4-1],v1^8[5-0],v0^1[5-1],v1^8v2^1[5-0],,
v0^1v1^1[4-1],20,6,12,,,v2^3[5-0],,,
[3-4],21,3,12,,,,,,
v1^2[3-2],21,5,12,,v2^3[4-0],,,,
v1^10[1-0],21,11,11,,loc,,v1^10v2^1[2-0],,
[4-2],22,4,13,,,v1^1[5-1]+v1^10[5-0],,,
v1^2v3^1[4-0],22,7,13,,loc,,,2,v1^2v2^2[5-0]
v1^4v2^2[2-0],22,8,12,,loc,,,,
v0^1v1^4v2^2[2-0],22,9,12,,,,,,
v0^2v1^4v2^2[2-0],22,10,12,,,,,,
v2^1[3-2],23,4,13,,v2^1[4-1]+v1^10[4-0],,v1^10v2^1[4-0],,
[5-1],23,5,14,v0^1[5-1],,[6-1]+v1^10[6-0],,,
v1^2v2^3[1-0],23,6,12,,loc,,,2,v1^4v2^2[2-0]
v0^1[5-1],23,6,14,v2^3[5-0],,,,,
v0^1v1^2v2^3[1-0],23,7,12,,,,,2,v0^1v1^4v2^2[2-0]
v0^2v1^2v2^3[1-0],23,8,12,,,,,2,v0^2v1^4v2^2[2-0]
v0^3v1^2v2^3[1-0],23,9,12,v0^4v1^2v2^3[1-0],v1^8v2^1[2-0],,,,
v0^4v1^2v2^3[1-0],23,10,12,v0^5v1^2v2^3[1-0],,,,,
v0^5v1^2v2^3[1-0],23,11,12,v0^6v1^2v2^3[1-0],,,,,
v0^6v1^2v2^3[1-0],23,12,12,,,,,,
v2^1[4-1],24,5,14,,v1^1[5-1]+v1^10[5-0],,,,
v1^8v2^1[2-0],24,11,13,,loc,,,,
v1^1[5-1],25,6,15,,v1^10[6-0],,v1^10v2^1[6-0],,
v2^1v3^1[5-0],25,7,15,,loc,,,2,v2^3[6-0]
v1^4v3^1[3-0],25,8,14,,loc,,,2,v1^4v2^2[4-0]
v0^1v1^4v3^1[3-0],25,9,14,,,,,,
v0^2v1^4v3^1[3-0],25,10,14,,,,,,
v1^12[1-0],25,13,13,,loc,,v1^12v2^1[2-0],,
v1^2v2^1[2-4],26,5,14,,v1^12[3-0],,v1^12v2^1[3-0],,
v2^4[2-0],26,6,14,,loc,,,2,v1^2v2^3[3-0]
[6-1],26,6,16,,v1^10[7-0],[7-1],v1^10v2^1[7-0],,
v0^1v2^4[2-0],26,7,14,,,,,2,v0^1v1^4v3^1[3-0]
v0^1[6-1],26,7,16,,,,,,
v0^2v2^4[2-0],26,8,14,,,,,2,v0^2v1^4v3^1[3-0]
[5-2],27,5,16,,,,,2,v0^1[6-1]
v1^2v2^1[3-2],27,6,15,,,,,,
v1^6v2^2[3-0],27,11,15,,loc,,,,
v1^10v2^1[1-0],27,12,14,v0^1v1^10v2^1[1-0],loc,,,,
v0^1v1^10v2^1[1-0],27,13,14,v0^2v1^10v2^1[1-0],,,,,
v0^2v1^10v2^1[1-0],27,14,14,,,,,,
v2^1v3^1[2-2],28,4,15,,,,,2,v1^2v2^1[3-2]
[6-2],28,6,17,,[7-1],,,,
v1^2v2^1v3^1[4-0],28,8,16,,loc,,,2,v1^2v2^3[5-0]
v1^4v2^3[2-0],28,9,15,,loc,,,2,v1^6v2^2[3-0]
v0^1v1^2v2^1v3^1[4-0],28,9,16,,,,,,
v0^2v1^2v2^1v3^1[4-0],28,10,16,,,,,,
v2^1v3^1[3-1],29,5,16,,,,,3,v2^4[4-0]
v1^3v2^1[3-2],29,7,16,,,,,2,v0^1v1^2v2^1v3^1[4-0]
[7-1],29,7,18,,,,,,
v0^1v1^3v2^1[3-2],29,8,16,,,,,2,v0^2v1^2v2^1v3^1[4-0]
v1^14[1-0],29,15,15,,loc,,v1^14v2^1[2-0],,
